Rank,Id,Pokemon,Type1,Type2,Total,HP,Attack,Defense,Sp.Atk,Sp.Def,Speed,Generation,Legendary,Usage%,Raw,Raw%,Real,Real%,Date
35  , 105,Marowak,Ground,,425,60,80,110,50,80,45,1,False            ,  3.64161% , 3280   ,  3.402% , 2305   ,  2.942% , 2021/10
36  , 229,Houndoom,Dark,Fire,500,75,90,50,110,80,95,2,False           ,  3.48553% , 3585   ,  3.719% , 2838   ,  3.622% , 2021/10
37  , 254,Sceptile,Grass,,530,70,85,65,105,85,120,3,False           ,  3.18627% , 3660   ,  3.796% , 2854   ,  3.643% , 2021/10
38  , 230,Kingdra,Water,Dragon,540,75,95,95,95,95,85,2,False            ,  3.07021% , 3131   ,  3.248% , 2429   ,  3.100% , 2021/10
39  , 257,Blaziken,Fire,Fighting,530,80,120,70,110,70,80,3,False           ,  3.02737% , 3756   ,  3.896% , 3037   ,  3.876% , 2021/10
40  , 197,Umbreon,Dark,,525,95,65,110,60,130,65,2,False            ,  2.92263% , 3269   ,  3.391% , 2834   ,  3.617% , 2021/10
1   , 248,Tyranitar,Rock,Dark,600,100,134,110,95,100,61,2,False          , 48.95265% , 43986  , 44.950% , 36662  , 46.163% , 2021/09
2   , 376,Metagross,Steel,Psychic,600,80,135,130,95,90,70,3,False          , 38.04706% , 35778  , 36.562% , 28975  , 36.484% , 2021/09
3   , 260,Swampert,Water,Ground,535,100,110,90,85,90,60,3,False           , 30.33405% , 28752  , 29.382% , 23753  , 29.909% , 2021/09
4   , 94,Gengar,Ghost,Poison,500,60,65,60,130,75,110,1,False             , 29.35840% , 28721  , 29.350% , 23213  , 29.229% , 2021/09
5   , 373,Salamence,Dragon,Flying,600,95,135,80,110,80,100,3,False          , 27.30833% , 26551  , 27.133% , 21550  , 27.135% , 2021/09
6   , 145,Zapdos,Electric,Flying,580,90,90,85,125,90,100,1,True             , 25.94771% , 23320  , 23.831% , 21174  , 26.661% , 2021/09
7   , 227,Skarmory,Steel,Flying,465,65,80,140,40,70,70,2,False           , 25.86025% , 23931  , 24.455% , 22017  , 27.723% , 2021/09
8   , 251,Celebi,Psychic,Grass,600,100,100,100,100,100,100,2,False             , 25.19908% , 23424  , 23.937% , 19750  , 24.868% , 2021/09
9   , 143,Snorlax,Normal,,540,160,110,65,65,110,30,1,False            , 24.30139% , 23710  , 24.229% , 19602  , 24.682% , 2021/09
10  , 242,Blissey,Normal,,540,255,10,10,75,135,55,2,False            , 20.43706% , 19515  , 19.943% , 16081  , 20.249% , 2021/09
11  , 82,Magneton,Electric,Steel,465,50,60,95,120,70,70,1,False           , 19.93499% , 18311  , 18.712% , 13467  , 16.957% , 2021/09
12  , 51,Dugtrio,Ground,,405,35,80,50,50,70,120,1,False            , 17.32508% , 15642  , 15.985% , 11694  , 14.725% , 2021/09
13  , 245,Suicune,Water,,580,100,75,115,90,115,85,2,True            , 16.14035% , 15034  , 15.363% , 12133  , 15.277% , 2021/09
14  , 142,Aerodactyl,Rock,Flying,515,80,105,65,60,75,130,1,False         , 15.96589% , 15395  , 15.732% , 11417  , 14.376% , 2021/09
15  , 385,Jirachi,Steel,Psychic,600,100,100,100,100,100,100,3,True            , 15.45834% , 13996  , 14.303% , 10883  , 13.703% , 2021/09
16  , 121,Starmie,Water,Psychic,520,60,75,85,100,85,115,1,False            , 14.99221% , 14642  , 14.963% , 11393  , 14.346% , 2021/09
17  , 135,Jolteon,Electric,,525,65,65,60,110,95,130,1,False            , 10.25333% , 10456  , 10.685% , 8690   , 10.942% , 2021/09
18  , 286,Breloom,Grass,Fighting,460,60,130,80,60,60,70,3,False            , 10.15373% , 10188  , 10.411% , 8606   , 10.836% , 2021/09
19  , 214,Heracross,Bug,Fighting,500,80,125,75,40,95,85,2,False          , 10.09492% , 10313  , 10.539% , 7910   ,  9.960% , 2021/09
20  , 344,Claydol,Ground,Psychic,500,60,70,105,70,120,75,3,False            ,  8.76246% , 8147   ,  8.325% , 6542   ,  8.237% , 2021/09
21  , 130,Gyarados,Water,Flying,540,95,125,79,60,100,81,1,False           ,  8.21847% , 8025   ,  8.201% , 6529   ,  8.221% , 2021/09
22  , 205,Forretress,Bug,Steel,465,75,90,140,60,60,40,2,False         ,  7.92134% , 7397   ,  7.559% , 6682   ,  8.414% , 2021/09
23  , 350,Milotic,Water,,540,95,60,79,100,125,81,3,False            ,  7.51192% , 7456   ,  7.619% , 5963   ,  7.508% , 2021/09
24  , 330,Flygon,Ground,Dragon,520,80,100,80,80,80,100,3,False             ,  6.57355% , 6462   ,  6.604% , 5257   ,  6.619% , 2021/09
25  , 91,Cloyster,Water,Ice,525,50,95,180,85,45,70,1,False           ,  6.14534% , 5740   ,  5.866% , 5095   ,  6.415% , 2021/09
26  , 291,Ninjask,Bug,Flying,456,61,90,45,50,50,160,3,False            ,  5.19652% , 6418   ,  6.559% , 5750   ,  7.240% , 2021/09
27  , 146,Moltres,Fire,Flying,580,90,100,90,125,85,90,1,True            ,  5.05221% , 4883   ,  4.990% , 3981   ,  5.013% , 2021/09
28  , 6,Charizard,Fire,Flying,534,78,84,78,109,85,100,1,False          ,  4.87746% , 5089   ,  5.200% , 4082   ,  5.140% , 2021/09
29  , 134,Vaporeon,Water,,525,130,65,60,110,95,65,1,False           ,  4.64024% , 4337   ,  4.432% , 3655   ,  4.602% , 2021/09
30  , 243,Raikou,Electric,,580,90,85,75,115,100,115,2,True             ,  4.56491% , 3875   ,  3.960% , 3206   ,  4.037% , 2021/09
31  , 297,Hariyama,Fighting,,474,144,120,60,40,60,50,3,False           ,  4.19262% , 3826   ,  3.910% , 3213   ,  4.046% , 2021/09
32  , 233,Porygon2,Normal,,515,85,80,90,105,95,60,2,False           ,  4.13124% , 3852   ,  3.936% , 3015   ,  3.796% , 2021/09
33  , 230,Kingdra,Water,Dragon,540,75,95,95,95,95,85,2,False            ,  4.11219% , 4203   ,  4.295% , 3231   ,  4.068% , 2021/09
34  , 229,Houndoom,Dark,Fire,500,75,90,50,110,80,95,2,False           ,  3.80961% , 3923   ,  4.009% , 3034   ,  3.820% , 2021/09
35  , 65,Alakazam,Psychic,,500,55,50,45,135,95,120,1,False           ,  3.69798% , 4546   ,  4.646% , 3513   ,  4.423% , 2021/09
36  , 110,Weezing,Poison,,490,65,90,120,85,70,60,1,False            ,  3.56299% , 3747   ,  3.829% , 3178   ,  4.002% , 2021/09
37  , 105,Marowak,Ground,,425,60,80,110,50,80,45,1,False            ,  3.41893% , 3188   ,  3.258% , 2105   ,  2.651% , 2021/09
38  , 257,Blaziken,Fire,Fighting,530,80,120,70,110,70,80,3,False           ,  3.40648% , 3811   ,  3.894% , 3024   ,  3.808% , 2021/09
39  , 197,Umbreon,Dark,,525,95,65,110,60,130,65,2,False            ,  3.34961% , 3375   ,  3.449% , 2736   ,  3.445% , 2021/09
40  , 212,Scizor,Bug,Steel,500,70,130,100,55,80,65,2,False             ,  3.16556% , 3429   ,  3.504% , 2541   ,  3.200% , 2021/09
1   , 248,Tyranitar,Rock,Dark,600,100,134,110,95,100,61,2,False          , 45.97126% , 42359  , 41.559% , 35451  , 42.794% , 2021/08
2   , 376,Metagross,Steel,Psychic,600,80,135,130,95,90,70,3,False          , 37.81477% , 36911  , 36.214% , 30036  , 36.258% , 2021/08
3   , 260,Swampert,Water,Ground,535,100,110,90,85,90,60,3,False           , 30.77032% , 29878  , 29.313% , 24839  , 29.984% , 2021/08
4   , 227,Skarmory,Steel,Flying,465,65,80,140,40,70,70,2,False           , 29.78217% , 28612  , 28.071% , 26267  , 31.708% , 2021/08
5   , 373,Salamence,Dragon,Flying,600,95,135,80,110,80,100,3,False          , 28.75458% , 28748  , 28.205% , 23640  , 28.537% , 2021/08
6   , 94,Gengar,Ghost,Poison,500,60,65,60,130,75,110,1,False             , 28.66260% , 29623  , 29.063% , 23670  , 28.573% , 2021/08
7   , 251,Celebi,Psychic,Grass,600,100,100,100,100,100,100,2,False             , 23.27948% , 22835  , 22.404% , 19244  , 23.230% , 2021/08
8   , 145,Zapdos,Electric,Flying,580,90,90,85,125,90,100,1,True             , 23.06344% , 21354  , 20.950% , 19493  , 23.531% , 2021/08
9   , 143,Snorlax,Normal,,540,160,110,65,65,110,30,1,False            , 23.04525% , 22528  , 22.102% , 18357  , 22.159% , 2021/08
10  , 242,Blissey,Normal,,540,255,10,10,75,135,55,2,False            , 21.95680% , 21149  , 20.749% , 17613  , 21.261% , 2021/08
11  , 82,Magneton,Electric,Steel,465,50,60,95,120,70,70,1,False           , 18.43546% , 17599  , 17.266% , 12844  , 15.504% , 2021/08
12  , 51,Dugtrio,Ground,,405,35,80,50,50,70,120,1,False            , 16.44036% , 16125  , 15.820% , 11710  , 14.136% , 2021/08
13  , 385,Jirachi,Steel,Psychic,600,100,100,100,100,100,100,3,True            , 15.44671% , 14207  , 13.939% , 10951  , 13.219% , 2021/08
14  , 121,Starmie,Water,Psychic,520,60,75,85,100,85,115,1,False            , 15.41430% , 15103  , 14.818% , 11942  , 14.416% , 2021/08
15  , 142,Aerodactyl,Rock,Flying,515,80,105,65,60,75,130,1,False         , 15.11303% , 15355  , 15.065% , 11377  , 13.734% , 2021/08
16  , 245,Suicune,Water,,580,100,75,115,90,115,85,2,True            , 15.07234% , 14363  , 14.092% , 11934  , 14.406% , 2021/08
17  , 135,Jolteon,Electric,,525,65,65,60,110,95,130,1,False            , 12.19716% , 12510  , 12.274% , 10576  , 12.767% , 2021/08
18  , 286,Breloom,Grass,Fighting,460,60,130,80,60,60,70,3,False            ,  9.28794% , 10167  ,  9.975% , 8278   ,  9.993% , 2021/08
19  , 214,Heracross,Bug,Fighting,500,80,125,75,40,95,85,2,False          ,  9.11768% , 9844   ,  9.658% , 7636   ,  9.218% , 2021/08
20  , 130,Gyarados,Water,Flying,540,95,125,79,60,100,81,1,False           ,  9.02121% , 8467   ,  8.307% , 6970   ,  8.414% , 2021/08
21  , 344,Claydol,Ground,Psychic,500,60,70,105,70,120,75,3,False            ,  8.93172% , 8357   ,  8.199% , 6748   ,  8.146% , 2021/08
22  , 330,Flygon,Ground,Dragon,520,80,100,80,80,80,100,3,False             ,  8.80222% , 8815   ,  8.648% , 7036   ,  8.493% , 2021/08
23  , 205,Forretress,Bug,Steel,465,75,90,140,60,60,40,2,False         ,  7.81391% , 8026   ,  7.874% , 7203   ,  8.695% , 2021/08
24  , 350,Milotic,Water,,540,95,60,79,100,125,81,3,False            ,  7.08089% , 8140   ,  7.986% , 6589   ,  7.954% , 2021/08
25  , 91,Cloyster,Water,Ice,525,50,95,180,85,45,70,1,False           ,  5.76951% , 5615   ,  5.509% , 4881   ,  5.892% , 2021/08
26  , 291,Ninjask,Bug,Flying,456,61,90,45,50,50,160,3,False            ,  5.76526% , 6951   ,  6.820% , 6353   ,  7.669% , 2021/08
27  , 6,Charizard,Fire,Flying,534,78,84,78,109,85,100,1,False          ,  5.65377% , 6207   ,  6.090% , 5040   ,  6.084% , 2021/08
28  , 146,Moltres,Fire,Flying,580,90,100,90,125,85,90,1,True            ,  5.43209% , 5392   ,  5.290% , 4409   ,  5.322% , 2021/08
29  , 297,Hariyama,Fighting,,474,144,120,60,40,60,50,3,False           ,  4.78083% , 4652   ,  4.564% , 3782   ,  4.565% , 2021/08
30  , 134,Vaporeon,Water,,525,130,65,60,110,95,65,1,False           ,  4.26803% , 4295   ,  4.214% , 3586   ,  4.329% , 2021/08
31  , 233,Porygon2,Normal,,515,85,80,90,105,95,60,2,False           ,  3.92997% , 3830   ,  3.758% , 2974   ,  3.590% , 2021/08
32  , 105,Marowak,Ground,,425,60,80,110,50,80,45,1,False            ,  3.91059% , 3708   ,  3.638% , 2423   ,  2.925% , 2021/08
33  , 65,Alakazam,Psychic,,500,55,50,45,135,95,120,1,False           ,  3.76172% , 4481   ,  4.396% , 3493   ,  4.217% , 2021/08
34  , 243,Raikou,Electric,,580,90,85,75,115,100,115,2,True             ,  3.75403% , 3411   ,  3.347% , 2795   ,  3.374% , 2021/08
35  , 230,Kingdra,Water,Dragon,540,75,95,95,95,95,85,2,False            ,  3.64811% , 4030   ,  3.954% , 3161   ,  3.816% , 2021/08
36  , 257,Blaziken,Fire,Fighting,530,80,120,70,110,70,80,3,False           ,  3.62760% , 4881   ,  4.789% , 4032   ,  4.867% , 2021/08
37  , 197,Umbreon,Dark,,525,95,65,110,60,130,65,2,False            ,  3.52456% , 3954   ,  3.879% , 3207   ,  3.871% , 2021/08
38  , 3,Venusaur,Grass,Poison,525,80,82,83,100,100,80,1,False           ,  3.49824% , 4072   ,  3.995% , 3351   ,  4.045% , 2021/08
39  , 229,Houndoom,Dark,Fire,500,75,90,50,110,80,95,2,False           ,  3.39067% , 3817   ,  3.745% , 2949   ,  3.560% , 2021/08
40  , 68,Machamp,Fighting,,505,90,130,80,65,85,55,1,False            ,  3.06621% , 3804   ,  3.732% , 2916   ,  3.520% , 2021/08
1   , 248,Tyranitar,Rock,Dark,600,100,134,110,95,100,61,2,False          , 44.98964% , 43795  , 41.131% , 36550  , 42.460% , 2021/07
2   , 376,Metagross,Steel,Psychic,600,80,135,130,95,90,70,3,False          , 38.78211% , 38494  , 36.153% , 31251  , 36.304% , 2021/07
3   , 260,Swampert,Water,Ground,535,100,110,90,85,90,60,3,False           , 32.61248% , 32754  , 30.762% , 26696  , 31.012% , 2021/07
4   , 94,Gengar,Ghost,Poison,500,60,65,60,130,75,110,1,False             , 30.91322% , 32471  , 30.496% , 25827  , 30.003% , 2021/07
5   , 373,Salamence,Dragon,Flying,600,95,135,80,110,80,100,3,False          , 29.35049% , 31018  , 29.131% , 25231  , 29.311% , 2021/07
6   , 227,Skarmory,Steel,Flying,465,65,80,140,40,70,70,2,False           , 28.12993% , 28601  , 26.861% , 26303  , 30.556% , 2021/07
7   , 145,Zapdos,Electric,Flying,580,90,90,85,125,90,100,1,True             , 24.57414% , 22928  , 21.533% , 20407  , 23.707% , 2021/07
8   , 143,Snorlax,Normal,,540,160,110,65,65,110,30,1,False            , 24.13959% , 25031  , 23.509% , 20543  , 23.865% , 2021/07
9   , 242,Blissey,Normal,,540,255,10,10,75,135,55,2,False            , 23.53713% , 24526  , 23.034% , 20147  , 23.405% , 2021/07
10  , 251,Celebi,Psychic,Grass,600,100,100,100,100,100,100,2,False             , 22.90086% , 23103  , 21.698% , 19234  , 22.344% , 2021/07
11  , 142,Aerodactyl,Rock,Flying,515,80,105,65,60,75,130,1,False         , 17.36823% , 17664  , 16.590% , 13231  , 15.370% , 2021/07
12  , 82,Magneton,Electric,Steel,465,50,60,95,120,70,70,1,False           , 17.16925% , 17310  , 16.257% , 12925  , 15.015% , 2021/07
13  , 51,Dugtrio,Ground,,405,35,80,50,50,70,120,1,False            , 16.84533% , 17107  , 16.067% , 12506  , 14.528% , 2021/07
14  , 385,Jirachi,Steel,Psychic,600,100,100,100,100,100,100,3,True            , 16.08117% , 15233  , 14.307% , 11882  , 13.803% , 2021/07
15  , 121,Starmie,Water,Psychic,520,60,75,85,100,85,115,1,False            , 15.81042% , 16105  , 15.125% , 12699  , 14.752% , 2021/07
16  , 245,Suicune,Water,,580,100,75,115,90,115,85,2,True            , 15.76678% , 15446  , 14.507% , 12698  , 14.751% , 2021/07
17  , 286,Breloom,Grass,Fighting,460,60,130,80,60,60,70,3,False            , 10.28565% , 11159  , 10.480% , 9063   , 10.528% , 2021/07
18  , 214,Heracross,Bug,Fighting,500,80,125,75,40,95,85,2,False          ,  9.69739% , 10614  ,  9.968% , 8082   ,  9.389% , 2021/07
19  , 135,Jolteon,Electric,,525,65,65,60,110,95,130,1,False            ,  9.60032% , 10700  , 10.049% , 8836   , 10.265% , 2021/07
20  , 205,Forretress,Bug,Steel,465,75,90,140,60,60,40,2,False         ,  8.65914% , 9211   ,  8.651% , 8146   ,  9.463% , 2021/07
21  , 344,Claydol,Ground,Psychic,500,60,70,105,70,120,75,3,False            ,  7.97094% , 7674   ,  7.207% , 6332   ,  7.356% , 2021/07
22  , 350,Milotic,Water,,540,95,60,79,100,125,81,3,False            ,  7.49785% , 8430   ,  7.917% , 6795   ,  7.894% , 2021/07
23  , 130,Gyarados,Water,Flying,540,95,125,79,60,100,81,1,False           ,  7.30355% , 7766   ,  7.294% , 6488   ,  7.537% , 2021/07
24  , 330,Flygon,Ground,Dragon,520,80,100,80,80,80,100,3,False             ,  6.62533% , 7306   ,  6.862% , 5847   ,  6.792% , 2021/07
25  , 91,Cloyster,Water,Ice,525,50,95,180,85,45,70,1,False           ,  6.09045% , 6300   ,  5.917% , 5444   ,  6.324% , 2021/07
26  , 291,Ninjask,Bug,Flying,456,61,90,45,50,50,160,3,False            ,  5.86520% , 7264   ,  6.822% , 6511   ,  7.564% , 2021/07
27  , 6,Charizard,Fire,Flying,534,78,84,78,109,85,100,1,False          ,  5.73971% , 6991   ,  6.566% , 5602   ,  6.508% , 2021/07
28  , 146,Moltres,Fire,Flying,580,90,100,90,125,85,90,1,True            ,  5.65374% , 5824   ,  5.470% , 4668   ,  5.423% , 2021/07
29  , 105,Marowak,Ground,,425,60,80,110,50,80,45,1,False            ,  4.91441% , 4684   ,  4.399% , 3080   ,  3.578% , 2021/07
30  , 65,Alakazam,Psychic,,500,55,50,45,135,95,120,1,False           ,  4.26294% , 6013   ,  5.647% , 4550   ,  5.286% , 2021/07
31  , 297,Hariyama,Fighting,,474,144,120,60,40,60,50,3,False           ,  4.23395% , 4181   ,  3.927% , 3474   ,  4.036% , 2021/07
32  , 243,Raikou,Electric,,580,90,85,75,115,100,115,2,True             ,  3.81260% , 3700   ,  3.475% , 3062   ,  3.557% , 2021/07
33  , 233,Porygon2,Normal,,515,85,80,90,105,95,60,2,False           ,  3.76455% , 3606   ,  3.387% , 2777   ,  3.226% , 2021/07
34  , 3,Venusaur,Grass,Poison,525,80,82,83,100,100,80,1,False           ,  3.76437% , 5002   ,  4.698% , 4160   ,  4.833% , 2021/07
35  , 257,Blaziken,Fire,Fighting,530,80,120,70,110,70,80,3,False           ,  3.60763% , 4926   ,  4.626% , 4027   ,  4.678% , 2021/07
36  , 229,Houndoom,Dark,Fire,500,75,90,50,110,80,95,2,False           ,  3.37186% , 3584   ,  3.366% , 2740   ,  3.183% , 2021/07
37  , 149,Dragonite,Dragon,Flying,600,91,134,95,100,100,80,1,False          ,  3.29008% , 4342   ,  4.078% , 3272   ,  3.801% , 2021/07
38  , 197,Umbreon,Dark,,525,95,65,110,60,130,65,2,False            ,  3.03246% , 3591   ,  3.373% , 2966   ,  3.446% , 2021/07
39  , 134,Vaporeon,Water,,525,130,65,60,110,95,65,1,False           ,  3.03073% , 3234   ,  3.037% , 2665   ,  3.096% , 2021/07
40  , 230,Kingdra,Water,Dragon,540,75,95,95,95,95,85,2,False            ,  2.79085% , 3314   ,  3.112% , 2590   ,  3.009% , 2021/07
1   , 248,Tyranitar,Rock,Dark,600,100,134,110,95,100,61,2,False          , 46.58932% , 33818  , 40.578% , 28597  , 42.635% , 2021/06
2   , 376,Metagross,Steel,Psychic,600,80,135,130,95,90,70,3,False          , 37.94150% , 29087  , 34.902% , 23573  , 35.145% , 2021/06
3   , 260,Swampert,Water,Ground,535,100,110,90,85,90,60,3,False           , 36.90249% , 28584  , 34.298% , 23176  , 34.553% , 2021/06
4   , 94,Gengar,Ghost,Poison,500,60,65,60,130,75,110,1,False             , 28.58414% , 23845  , 28.612% , 18812  , 28.047% , 2021/06
5   , 227,Skarmory,Steel,Flying,465,65,80,140,40,70,70,2,False           , 28.56997% , 22875  , 27.448% , 20882  , 31.133% , 2021/06
6   , 373,Salamence,Dragon,Flying,600,95,135,80,110,80,100,3,False          , 27.27164% , 22366  , 26.837% , 18138  , 27.042% , 2021/06
7   , 145,Zapdos,Electric,Flying,580,90,90,85,125,90,100,1,True             , 27.05743% , 19729  , 23.673% , 17690  , 26.374% , 2021/06
8   , 143,Snorlax,Normal,,540,160,110,65,65,110,30,1,False            , 22.67572% , 18162  , 21.793% , 14862  , 22.158% , 2021/06
9   , 242,Blissey,Normal,,540,255,10,10,75,135,55,2,False            , 20.96609% , 17567  , 21.079% , 14484  , 21.594% , 2021/06
10  , 251,Celebi,Psychic,Grass,600,100,100,100,100,100,100,2,False             , 19.90415% , 15239  , 18.285% , 12513  , 18.656% , 2021/06
11  , 142,Aerodactyl,Rock,Flying,515,80,105,65,60,75,130,1,False         , 18.75366% , 15251  , 18.300% , 11312  , 16.865% , 2021/06
12  , 82,Magneton,Electric,Steel,465,50,60,95,120,70,70,1,False           , 17.71004% , 13786  , 16.542% , 10086  , 15.037% , 2021/06
13  , 121,Starmie,Water,Psychic,520,60,75,85,100,85,115,1,False            , 17.55260% , 14072  , 16.885% , 11148  , 16.620% , 2021/06
14  , 51,Dugtrio,Ground,,405,35,80,50,50,70,120,1,False            , 16.68062% , 13380  , 16.055% , 9874   , 14.721% , 2021/06
15  , 385,Jirachi,Steel,Psychic,600,100,100,100,100,100,100,3,True            , 16.54926% , 11812  , 14.173% , 9146   , 13.636% , 2021/06
16  , 245,Suicune,Water,,580,100,75,115,90,115,85,2,True            , 15.17522% , 11396  , 13.674% , 9298   , 13.862% , 2021/06
17  , 286,Breloom,Grass,Fighting,460,60,130,80,60,60,70,3,False            , 11.23110% , 9361   , 11.232% , 7497   , 11.177% , 2021/06
18  , 214,Heracross,Bug,Fighting,500,80,125,75,40,95,85,2,False          , 10.33528% , 8270   ,  9.923% , 6241   ,  9.305% , 2021/06
19  , 135,Jolteon,Electric,,525,65,65,60,110,95,130,1,False            ,  9.96874% , 8981   , 10.776% , 7427   , 11.073% , 2021/06
20  , 205,Forretress,Bug,Steel,465,75,90,140,60,60,40,2,False         ,  9.36898% , 7353   ,  8.823% , 6404   ,  9.548% , 2021/06
21  , 344,Claydol,Ground,Psychic,500,60,70,105,70,120,75,3,False            ,  7.68077% , 6479   ,  7.774% , 5214   ,  7.774% , 2021/06
22  , 330,Flygon,Ground,Dragon,520,80,100,80,80,80,100,3,False             ,  7.61115% , 6901   ,  8.281% , 5596   ,  8.343% , 2021/06
23  , 130,Gyarados,Water,Flying,540,95,125,79,60,100,81,1,False           ,  6.68914% , 5752   ,  6.902% , 4666   ,  6.956% , 2021/06
24  , 350,Milotic,Water,,540,95,60,79,100,125,81,3,False            ,  6.67809% , 6170   ,  7.403% , 5003   ,  7.459% , 2021/06
25  , 91,Cloyster,Water,Ice,525,50,95,180,85,45,70,1,False           ,  6.29684% , 5066   ,  6.079% , 4429   ,  6.603% , 2021/06
